0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:53:11 +0900] "GET /bada_admin/board_manage/noti_faq_update.do?category=faq&id=223 HTTP/1.1" 200 10358
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:53:19 +0900] "POST /bada_admin/board_manage/noti_faq_update_ok.do HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:53:20 +0900] "GET /bada_admin/board_manage/noti_faq_view.do?category=faq&id=223 HTTP/1.1" 200 10387
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:53:23 +0900] "GET /bada_admin/board_manage/noti_faq_view.do?category=faq&id=222 HTTP/1.1" 200 10373
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:53:25 +0900] "GET /bada_admin/board_manage/qna_list.do HTTP/1.1" 200 18583
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:53:28 +0900] "GET /bada_admin/board_manage/qna_list.do?page=11 HTTP/1.1" 200 17472
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:53:29 +0900] "GET /bada_admin/board_manage/qna_list.do?page=16 HTTP/1.1" 200 14575
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:53:30 +0900] "GET /bada_admin/board_manage/qna_list.do?page=13 HTTP/1.1" 200 17472
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:53:31 +0900] "GET /bada_admin/board_manage/qna_list.do?page=10 HTTP/1.1" 200 18638
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:53:32 +0900] "GET /bada_admin/board_manage/qna_list.do?page=4 HTTP/1.1" 200 18639
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:54:06 +0900] "GET /bada_admin/board_manage/qna_list.do HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:54:08 +0900] "GET /bada_admin/index HTTP/1.1" 200 3133
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:54:13 +0900] "POST /bada_admin/login_ok.do HTTP/1.1" 200 160
